,moviename,year,description,genre,movielength,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
163,The Sixth Sense,1999,,,,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",,,,,,164
164,The Thing,1982,,,,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",,,,,,165
165,Gone with the Wind,1939,,,,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",,,,,,166
166,Blade Runner,1982,,,,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",,,,,,167
167,The Bridge on the River Kwai,1957,,,,"David Lean (dir.), William Holden, Alec Guinness",,,,,,168
168,Jurassic Park,1993,,,,"Steven Spielberg (dir.), Sam Neill, Laura Dern",,,,,,169
169,The Third Man,1949,,,,"Carol Reed (dir.), Orson Welles, Joseph Cotten",,,,,,170
170,On the Waterfront,1954,,,,"Elia Kazan (dir.), Marlon Brando, Karl Malden",,,,,,171
171,Finding Nemo,2003,,,,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",,,,,,172
172,Smultronstället,1957,,,,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",,,,,,173
173,Fargo,1996,,,,"Joel Coen (dir.), William H. Macy, Frances McDormand",,,,,,174
174,Gran Torino,2008,,,,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",,,,,,175
175,Kill Bill: Vol. 1,2003,,,,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",,,,,,176
176,Andhadhun,2018,,,,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",,,,,,177
177,The Deer Hunter,1978,,,,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",,,,,,178
178,Tôkyô monogatari,1953,,,,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",,,,,,179
179,Eskiya,1996,,,,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",,,,,,180
180,Stalker,1979,,,,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",,,,,,181
181,The Truman Show,1998,,,,"Peter Weir (dir.), Jim Carrey, Ed Harris",,,,,,182
182,Relatos salvajes,2014,,,,"Damián Szifron (dir.), Darío Grandinetti, María Marull",,,,,,183
183,Klaus,2019,,,,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",,,,,,184
184,The Big Lebowski,1998,,,,"Joel Coen (dir.), Jeff Bridges, John Goodman",,,,,,185
